"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2025","80,786.54","81,377.39","81,450.28","80,685.98","20.48M","-1.04%"
"08/25/2025","81,635.91","81,501.06","81,799.06","81,364.86","9.71M","0.40%"
"08/22/2025","81,306.85","81,951.48","81,993.61","81,291.77","6.73M","-0.85%"
"08/21/2025","82,000.71","82,220.46","82,231.17","81,921.22","10.05M","0.17%"
"08/20/2025","81,857.84","81,671.47","81,985.62","81,494.50","9.37M","0.26%"
"08/19/2025","81,644.39","81,319.11","81,755.88","81,315.44","10.85M","0.46%"
"08/18/2025","81,273.75","81,315.79","81,765.77","81,202.42","19.28M","0.84%"
"08/14/2025","80,597.66","80,625.28","80,751.18","80,489.86","7.24M","0.07%"
"08/13/2025","80,539.91","80,492.17","80,683.74","80,319.00","12.31M","0.38%"
"08/12/2025","80,235.59","80,508.51","80,997.67","80,164.36","10.29M","-0.46%"
"08/11/2025","80,604.08","79,885.36","80,636.05","79,772.46","8.64M","0.93%"
"08/08/2025","79,857.79","80,478.01","80,550.40","79,775.84","23.21M","-0.95%"
"08/07/2025","80,623.26","80,262.98","80,737.55","79,811.29","37.53M","0.10%"
"08/06/2025","80,543.99","80,694.98","80,834.43","80,448.82","5.25M","-0.21%"
"08/05/2025","80,710.25","80,946.43","81,010.49","80,554.40","10.92M","-0.38%"
"08/04/2025","81,018.72","80,765.83","81,093.19","80,500.51","9.86M","0.52%"
"08/01/2025","80,599.91","81,074.41","81,317.51","80,495.57","14.68M","-0.72%"
"07/31/2025","81,185.58","80,695.50","81,803.27","80,695.15","9.71M","-0.36%"
"07/30/2025","81,481.86","81,594.52","81,618.96","81,187.06","7.21M","0.18%"
"07/29/2025","81,337.95","80,620.25","81,429.88","80,575.45","12.29M","0.55%"
"07/28/2025","80,891.02","81,299.97","81,557.41","80,776.44","5.14M","-0.70%"
"07/25/2025","81,463.09","82,065.76","82,069.51","81,397.69","9.96M","-0.88%"
"07/24/2025","82,184.17","82,779.95","82,784.24","82,047.22","14.01M","-0.66%"
"07/23/2025","82,726.64","82,451.87","82,786.43","82,279.73","10.09M","0.66%"
"07/22/2025","82,186.81","82,527.43","82,538.17","82,110.63","23.92M","-0.02%"
"07/21/2025","82,200.34","81,918.53","82,274.03","81,518.66","15.26M","0.54%"
"07/18/2025","81,757.73","82,193.62","82,334.75","81,608.13","8.31M","-0.61%"
"07/17/2025","82,259.24","82,753.53","82,757.09","82,219.27","8.76M","-0.45%"
"07/16/2025","82,634.48","82,534.66","82,784.75","82,342.94","7.62M","0.08%"
"07/15/2025","82,570.91","82,233.16","82,743.62","82,221.74","9.87M","0.39%"
"07/14/2025","82,253.46","82,537.87","82,537.87","82,010.38","18.11M","-0.30%"
"07/11/2025","82,500.47","82,820.76","83,040.74","82,442.25","10.72M","-0.83%"
"07/10/2025","83,190.28","83,658.20","83,742.28","83,134.97","7.55M","-0.41%"
"07/09/2025","83,536.08","83,625.89","83,781.36","83,382.28","7.83M","-0.21%"
"07/08/2025","83,712.51","83,387.03","83,812.31","83,320.95","15.31M","0.32%"
"07/07/2025","83,442.50","83,398.08","83,516.82","83,262.23","6.23M","0.01%"
"07/04/2025","83,432.89","83,306.81","83,477.86","83,015.83","8.77M","0.23%"
"07/03/2025","83,239.47","83,540.74","83,850.09","83,186.74","9.56M","-0.20%"
"07/02/2025","83,409.69","83,790.72","83,935.01","83,150.77","10.57M","-0.34%"
"07/01/2025","83,697.29","83,685.66","83,874.29","83,572.51","19.08M","0.11%"
"06/30/2025","83,606.46","84,027.33","84,099.53","83,482.13","6.25M","-0.54%"
"06/27/2025","84,058.90","83,774.45","84,089.35","83,645.41","8.61M","0.36%"
"06/26/2025","83,755.87","82,882.92","83,812.09","82,816.26","10.50M","1.21%"
"06/25/2025","82,755.51","82,448.80","82,815.91","82,339.57","7.52M","0.85%"
"06/24/2025","82,055.11","82,534.61","83,018.16","81,900.12","119.31M","0.19%"
"06/23/2025","81,896.79","81,704.07","82,169.67","81,476.76","7.98M","-0.62%"
"06/20/2025","82,408.17","81,354.85","82,494.49","81,323.20","6.67M","1.29%"
"06/19/2025","81,361.87","81,403.94","81,583.94","81,191.04","12.46M","-0.10%"
"06/18/2025","81,444.66","81,314.62","81,858.97","81,237.01","11.35M","-0.17%"
